gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
0.211866,0.637063,0.950436,0.201714,0.978,0.963006,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.207471,0.144113,0.873772,0.211822,0.632133,0.949669,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.186962,-0.401819,0.634255,0.207266,0.138654,0.871377,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.133736,-0.670146,0.396692,0.18643,-0.404502,0.631879,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.078679,-0.884148,0.171824,0.133185,-0.672286,0.394443,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.000549,-1.171397,-0.100897,0.077887,-0.88702,0.169097,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.076238,-1.297381,-0.211988,-0.001306,-1.172657,-0.102008,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.179515,-1.520784,-0.191479,-0.077271,-1.299615,-0.211783,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.242996,-1.749802,-0.198804,-0.18015,-1.523074,-0.191552,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.220778,-1.79497,-0.201978,-0.242774,-1.750254,-0.198836,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.147043,-1.750534,-0.19685,-0.220041,-1.794526,-0.201927,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.119331,-1.438259,-0.258133,-0.144379,-1.747411,-0.197463,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.134957,-1.42068,-0.262772,0.119487,-1.438083,-0.258179,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.315632,-1.151132,-0.296466,0.136764,-1.417985,-0.263109,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.425014,-0.882561,-0.316242,0.316726,-1.148446,-0.296664,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.486297,-0.607398,-0.294757,0.425627,-0.879809,-0.316027,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.493988,-0.445523,-0.246658,0.486374,-0.605779,-0.294276,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.415736,-0.154489,0.029482,0.493205,-0.442613,-0.243897,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.35665,-0.066105,0.268754,0.415145,-0.153605,0.031875,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.271684,0.166575,0.689434,0.3558,-0.063778,0.272961,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.220411,2.650125,2.17976,0.271171,0.191411,0.704337,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.437954,3.774705,1.874809,0.222586,2.661371,2.17671,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.714826,4.000183,1.318867,0.440723,3.77696,1.86925,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.892327,4.000183,0.970213,0.716601,4.000183,1.31538,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
1.025026,4.000183,0.505463,0.893654,4.000183,0.965566,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.980223,3.642007,0.442837,1.024578,3.996601,0.504837,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.95947,3.38015,0.361289,0.980015,3.639388,0.442022,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.985839,3.038577,0.145944,0.959734,3.376734,0.359136,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.958738,2.634499,0.046329,0.985568,3.034536,0.144948,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.920649,2.42892,0.120308,0.958357,2.632443,0.047069,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.851309,2.253128,0.263383,0.919956,2.427162,0.121739,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.659281,1.861625,0.634865,0.849389,2.249213,0.267098,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.605323,1.691204,0.758408,0.658741,1.859921,0.6361,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.465421,1.347922,0.842153,0.603924,1.687771,0.759245,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.416224,1.163218,0.871574,0.464929,1.346075,0.842447,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.288287,0.790393,0.883049,0.414945,1.15949,0.871689,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.221144,0.58286,0.858634,0.287616,0.788318,0.882805,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.101386,0.169871,0.784777,0.219946,0.57873,0.857895,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.059025,0.033754,0.74266,0.100962,0.16851,0.784356,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.065251,-0.297809,0.630349,0.057782,0.030438,0.741537,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.201245,-0.783922,0.352011,-0.066611,-0.30267,0.627566,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.270097,-1.090826,0.045108,-0.201934,-0.786991,0.348942,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.283526,-1.25734,-0.094793,-0.270231,-1.092491,0.043709,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.322835,-1.606238,-0.319294,-0.283919,-1.260829,-0.097038,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.371177,-2.029848,-0.176585,-0.323318,-1.610474,-0.317867,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.371055,-2.057071,-0.043399,-0.371176,-2.03012,-0.175253,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.163889,-1.808399,0.227492,-0.368983,-2.054584,-0.04069,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.014955,-1.650674,0.271196,-0.1624,-1.806822,0.227929,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.362876,-1.171275,0.396692,-0.011177,-1.64588,0.272451,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.59873,-0.443203,0.516938,0.365235,-1.163994,0.397894,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.652323,-0.134713,0.671855,0.599266,-0.440118,0.518487,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.657694,0.14631,0.849844,0.652377,-0.131903,0.673635,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.499725,1.035525,1.360129,0.656114,0.155202,0.854947,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.449429,1.631264,1.576207,0.499222,1.041482,1.36229,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.445889,2.081731,1.716963,0.449394,1.635769,1.577615,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.443081,2.191601,1.748581,0.445861,2.08283,1.717279,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
